,CID,mol_id,action,CID_id,mol_id_id,id
553,11671467,2599558,inhibitor,1059,1216,0
554,1201549,553260,inhibitor,54,1217,0
555,5656,553260,inhibitor,80,1217,0
556,4158,553260,inhibitor,158,1217,0
557,4058,553260,inhibitor,177,1217,0
558,3696,553260,inhibitor,180,1217,0
559,60835,553260,inhibitor,189,1217,0
560,4020,553260,inhibitor,255,1217,0
561,5584,553260,inhibitor,341,1217,0
562,4236,553260,inhibitor,350,1217,0
563,7028,553260,inhibitor,412,1217,0
564,68617,553260,inhibitor,580,1217,0
565,2725,553260,inhibitor,584,1217,0
566,3103,553260,inhibitor,607,1217,0
567,444,553260,inhibitor,613,1217,0
568,146570,553260,inhibitor,625,1217,0
569,9690109,553260,inhibitor,855,1217,0
570,154101,553260,inhibitor,874,1217,0
571,4205,181432,inhibitor,132,1218,0
572,3878,181432,inhibitor,241,1218,0
573,6018,181432,inhibitor,793,1218,0
574,3878,36431,inhibitor,241,1219,0
575,4205,30397,inhibitor,132,1220,0
576,3878,30397,inhibitor,241,1220,0
577,4205,32049,inhibitor,132,1221,0
578,3878,32049,inhibitor,241,1221,0
579,4205,927342,inhibitor,132,1222,0
580,3878,681914,inhibitor,241,1224,0
581,3878,178196,inhibitor,241,1226,0
582,3878,61970253,inhibitor,241,1229,0
583,3878,177988,inhibitor,241,1230,0
584,2955,699152,inhibitor,58,1231,0
585,2955,5832717,inhibitor,58,1232,0
586,15951529,178628,inhibitor,931,1236,0
587,5333,41273,inhibitor,62,1237,0
588,5320,41273,inhibitor,287,1237,0
589,5329,41273,inhibitor,518,1237,0
590,5322,41273,inhibitor,690,1237,0
591,5335,41273,inhibitor,884,1237,0
592,6234,145722,inhibitor,63,1238,0
593,6234,6708455,inhibitor,63,1239,0
594,2578,31825,inhibitor,65,1240,0
595,54676038,40217983,inhibitor,67,1241,0
596,4760,40217983,inhibitor,206,1241,0
597,54678486,40217983,inhibitor,311,1241,0
598,54680692,40217983,inhibitor,469,1241,0
599,54676537,40217983,inhibitor,731,1241,0
600,54676038,189246,inhibitor,67,1242,0
601,54676038,292415,inhibitor,67,1243,0
602,3784,179762,inhibitor,69,1244,0
603,2162,179762,inhibitor,137,1244,0
604,4499,179762,inhibitor,149,1244,0
605,5833,179762,inhibitor,157,1244,0
606,4474,179762,inhibitor,279,1244,0
607,3446,179762,inhibitor,503,1244,0
608,3333,179762,inhibitor,525,1244,0
609,4507,179762,inhibitor,543,1244,0
610,4485,179762,inhibitor,585,1244,0
611,2893,179762,inhibitor,787,1244,0
612,4494,179762,inhibitor,881,1244,0
613,3784,300417,inhibitor,69,1245,0
614,2162,300417,inhibitor,137,1245,0
615,4497,300417,inhibitor,145,1245,0
616,4499,300417,inhibitor,149,1245,0
617,5833,300417,inhibitor,157,1245,0
618,4474,300417,inhibitor,279,1245,0
619,2520,300417,inhibitor,301,1245,0
620,3333,300417,inhibitor,525,1245,0
621,4507,300417,inhibitor,543,1245,0
622,4485,300417,inhibitor,585,1245,0
623,4494,300417,inhibitor,881,1245,0
624,5573,300417,inhibitor,966,1245,0
625,3784,14670397,inhibitor,69,1246,0
626,5833,14670397,inhibitor,157,1246,0
627,5734,14670397,inhibitor,447,1246,0
628,3333,14670397,inhibitor,525,1246,0
629,4507,14670397,inhibitor,543,1246,0
630,4485,14670397,inhibitor,585,1246,0
631,2157,14670397,inhibitor,587,1246,0
632,941361,14670397,inhibitor,790,1246,0
633,3784,179764,inhibitor,69,1247,0
634,2162,179764,inhibitor,137,1247,0
635,4497,179764,inhibitor,145,1247,0
636,4499,179764,inhibitor,149,1247,0
637,5833,179764,inhibitor,157,1247,0
638,4474,179764,inhibitor,279,1247,0
639,2520,179764,inhibitor,301,1247,0
640,3333,179764,inhibitor,525,1247,0
641,4507,179764,inhibitor,543,1247,0
642,4485,179764,inhibitor,585,1247,0
643,4494,179764,inhibitor,881,1247,0
644,5573,179764,inhibitor,966,1247,0
