"","CID_id","mol_id","action_id"
"162",447,1291,1
"92",1086,1265,1
"1606",1108,1412,2
"3938",590,1362,0
"117",26,1260,1
"195",727,1854,1
"3837",467,1731,0
"1338",576,1321,2
"2518",433,1542,0
"2136",118,1342,7
"1232",918,1337,2
"2559",1203,1853,0
"1764",953,1285,2
"3679",1203,2030,0
"2126",170,1383,7
"1806",923,1571,2
"3058",114,1335,0
"2435",154,1365,0
"1973",1155,1341,2
"1445",1132,1571,2
"1691",1022,1239,2
"2187",1101,1796,7
"971",125,1350,2
"3714",527,1309,0
"917",1167,1260,2
"2721",585,1409,0
"1831",1039,1393,2
"1172",128,1393,2
"1222",30,1328,2
"1007",791,1351,2
"2769",270,1367,0
"2875",561,1683,0
"3420",669,1763,0
"2053",932,1418,2
"2972",1203,2004,0
"98",447,1336,1
"1917",1185,1287,2
"1629",729,1472,2
"1235",844,1386,2
"3295",1051,1292,0
"40",109,1451,10
"2977",944,1911,0
"2888",413,1336,0
"45",1084,1945,1
"597",98,1286,1
"2316",816,1875,5
"635",38,1348,1
"1883",361,1260,2
"2741",154,1412,0
"3352",311,1630,0
"2340",671,1830,5
"1813",327,1639,2
"1696",572,1783,2
"610",32,1332,1
"2839",954,1532,0
"325",288,1342,1
"3035",272,1282,0
"2841",1203,2029,0
"2728",480,1738,0
"2665",125,1262,0
"892",175,1242,2
"866",118,1341,2
"2783",70,1402,0
"3410",740,1335,0
"3091",281,1238,0
"2496",1066,1930,0
"1567",345,1337,2
"954",1218,1336,2
